,ds,y
46322,2015-07-01 00:00:00,38210
46321,2015-07-01 01:00:00,35171
46320,2015-07-01 02:00:00,33243
46319,2015-07-01 03:00:00,31955
46318,2015-07-01 04:00:00,31199
46317,2015-07-01 05:00:00,31540
46316,2015-07-01 06:00:00,32551
46315,2015-07-01 07:00:00,34483
46314,2015-07-01 08:00:00,37003
46313,2015-07-01 09:00:00,39274
46312,2015-07-01 10:00:00,41265
46311,2015-07-01 11:00:00,43042
46310,2015-07-01 12:00:00,44869
46309,2015-07-01 13:00:00,46173
46308,2015-07-01 14:00:00,47600
46307,2015-07-01 15:00:00,48083
46306,2015-07-01 16:00:00,48300
46305,2015-07-01 17:00:00,48136
46304,2015-07-01 18:00:00,47343
46303,2015-07-01 19:00:00,46165
46302,2015-07-01 20:00:00,45380
46301,2015-07-01 21:00:00,44996
46300,2015-07-01 22:00:00,43173
46299,2015-07-01 23:00:00,39545
46298,2015-07-02 00:00:00,36073
46297,2015-07-02 01:00:00,33603
46296,2015-07-02 02:00:00,31746
46295,2015-07-02 03:00:00,30618
46294,2015-07-02 04:00:00,30157
46293,2015-07-02 05:00:00,30920
46292,2015-07-02 06:00:00,32074
46291,2015-07-02 07:00:00,34150
46290,2015-07-02 08:00:00,36828
46289,2015-07-02 09:00:00,38982
46288,2015-07-02 10:00:00,40598
46287,2015-07-02 11:00:00,42187
46286,2015-07-02 12:00:00,43556
46285,2015-07-02 13:00:00,45060
46284,2015-07-02 14:00:00,46767
46283,2015-07-02 15:00:00,48086
46282,2015-07-02 16:00:00,49005
46281,2015-07-02 17:00:00,49266
46280,2015-07-02 18:00:00,48231
46279,2015-07-02 19:00:00,46540
46278,2015-07-02 20:00:00,44693
46277,2015-07-02 21:00:00,43601
46276,2015-07-02 22:00:00,41628
46275,2015-07-02 23:00:00,38382
46274,2015-07-03 00:00:00,35140
46273,2015-07-03 01:00:00,32616
46272,2015-07-03 02:00:00,30689
46271,2015-07-03 03:00:00,29373
46270,2015-07-03 04:00:00,28936
46269,2015-07-03 05:00:00,28960
46268,2015-07-03 06:00:00,29277
46267,2015-07-03 07:00:00,30054
46266,2015-07-03 08:00:00,31213
46265,2015-07-03 09:00:00,33105
46264,2015-07-03 10:00:00,34797
46263,2015-07-03 11:00:00,36371
46262,2015-07-03 12:00:00,37921
46261,2015-07-03 13:00:00,39590
46260,2015-07-03 14:00:00,41542
46259,2015-07-03 15:00:00,43409
46258,2015-07-03 16:00:00,44932
46257,2015-07-03 17:00:00,45905
46256,2015-07-03 18:00:00,45878
46255,2015-07-03 19:00:00,44768
46254,2015-07-03 20:00:00,43090
46253,2015-07-03 21:00:00,41948
46252,2015-07-03 22:00:00,40172
46251,2015-07-03 23:00:00,37393
46250,2015-07-04 00:00:00,34368
46249,2015-07-04 01:00:00,31999
46248,2015-07-04 02:00:00,30200
46247,2015-07-04 03:00:00,29232
46246,2015-07-04 04:00:00,28404
46245,2015-07-04 05:00:00,28036
46244,2015-07-04 06:00:00,27930
46243,2015-07-04 07:00:00,27905
46242,2015-07-04 08:00:00,29112
46241,2015-07-04 09:00:00,31015
46240,2015-07-04 10:00:00,32867
46239,2015-07-04 11:00:00,34462
46238,2015-07-04 12:00:00,36236
46237,2015-07-04 13:00:00,37883
46236,2015-07-04 14:00:00,39236
46235,2015-07-04 15:00:00,40293
46234,2015-07-04 16:00:00,41210
46233,2015-07-04 17:00:00,41548
46232,2015-07-04 18:00:00,41399
46231,2015-07-04 19:00:00,40462
46230,2015-07-04 20:00:00,38824
46229,2015-07-04 21:00:00,37556
46228,2015-07-04 22:00:00,36007
46227,2015-07-04 23:00:00,34690
46226,2015-07-05 00:00:00,32777
46225,2015-07-05 01:00:00,30763
46224,2015-07-05 02:00:00,29095
46223,2015-07-05 03:00:00,27905
46222,2015-07-05 04:00:00,27357
46221,2015-07-05 05:00:00,27196
46220,2015-07-05 06:00:00,27098
46219,2015-07-05 07:00:00,27029
46218,2015-07-05 08:00:00,27901
46217,2015-07-05 09:00:00,29360
46216,2015-07-05 10:00:00,30887
46215,2015-07-05 11:00:00,32155
46214,2015-07-05 12:00:00,33455
46213,2015-07-05 13:00:00,34474
46212,2015-07-05 14:00:00,35307
46211,2015-07-05 15:00:00,36579
46210,2015-07-05 16:00:00,38071
46209,2015-07-05 17:00:00,39010
46208,2015-07-05 18:00:00,39405
46207,2015-07-05 19:00:00,39064
46206,2015-07-05 20:00:00,38220
46205,2015-07-05 21:00:00,37819
46204,2015-07-05 22:00:00,36473
46203,2015-07-05 23:00:00,33910
46202,2015-07-06 00:00:00,31270
46201,2015-07-06 01:00:00,29172
46200,2015-07-06 02:00:00,28199
46199,2015-07-06 03:00:00,27314
46198,2015-07-06 04:00:00,27093
46197,2015-07-06 05:00:00,27728
46196,2015-07-06 06:00:00,29084
46195,2015-07-06 07:00:00,31110
46194,2015-07-06 08:00:00,33279
46193,2015-07-06 09:00:00,35081
46192,2015-07-06 10:00:00,36305
46191,2015-07-06 11:00:00,37743
46190,2015-07-06 12:00:00,38264
46189,2015-07-06 13:00:00,39120
46188,2015-07-06 14:00:00,40361
46187,2015-07-06 15:00:00,41667
46186,2015-07-06 16:00:00,42800
46185,2015-07-06 17:00:00,43289
46184,2015-07-06 18:00:00,43150
46183,2015-07-06 19:00:00,42403
46182,2015-07-06 20:00:00,41152
46181,2015-07-06 21:00:00,40457
46180,2015-07-06 22:00:00,38737
46179,2015-07-06 23:00:00,35534
46178,2015-07-07 00:00:00,32537
46177,2015-07-07 01:00:00,30566
46176,2015-07-07 02:00:00,29486
46175,2015-07-07 03:00:00,28606
46174,2015-07-07 04:00:00,28228
46173,2015-07-07 05:00:00,28567
46172,2015-07-07 06:00:00,29935
46171,2015-07-07 07:00:00,31915
46170,2015-07-07 08:00:00,33800
46169,2015-07-07 09:00:00,35243
46168,2015-07-07 10:00:00,36260
46167,2015-07-07 11:00:00,37500
46166,2015-07-07 12:00:00,38110
46165,2015-07-07 13:00:00,38572
46164,2015-07-07 14:00:00,39903
46163,2015-07-07 15:00:00,41223
46162,2015-07-07 16:00:00,42231
46161,2015-07-07 17:00:00,42724
46160,2015-07-07 18:00:00,42516
46159,2015-07-07 19:00:00,41551
46158,2015-07-07 20:00:00,40427
46157,2015-07-07 21:00:00,39879
46156,2015-07-07 22:00:00,38313
46155,2015-07-07 23:00:00,35339
46154,2015-07-08 00:00:00,32388
46153,2015-07-08 01:00:00,30354
46152,2015-07-08 02:00:00,28912
46151,2015-07-08 03:00:00,28066
46150,2015-07-08 04:00:00,27822
46149,2015-07-08 05:00:00,28375
46148,2015-07-08 06:00:00,29047
46147,2015-07-08 07:00:00,30329
