ds,yhat
2015-07-01 00:00:00,31798.808246467415
2015-07-01 01:00:00,29813.20582202762
2015-07-01 02:00:00,28482.22889952016
2015-07-01 03:00:00,27714.691301695595
2015-07-01 04:00:00,27685.059521926232
2015-07-01 05:00:00,28601.56375642966
2015-07-01 06:00:00,30231.88678095316
2015-07-01 07:00:00,31948.068932504055
2015-07-01 08:00:00,33506.86250757674
2015-07-01 09:00:00,35012.79554887675
2015-07-01 10:00:00,36513.200449114105
2015-07-01 11:00:00,37973.83324641314
2015-07-01 12:00:00,39421.39237034844
2015-07-01 13:00:00,41082.660961862406
2015-07-01 14:00:00,42800.766450351
2015-07-01 15:00:00,44319.920247818256
2015-07-01 16:00:00,45425.78265231609
2015-07-01 17:00:00,45821.18776148918
2015-07-01 18:00:00,45253.55534739361
2015-07-01 19:00:00,44223.93597252528
2015-07-01 20:00:00,43111.89090555361
2015-07-01 21:00:00,41335.32095433598
2015-07-01 22:00:00,38212.17552249083
2015-07-01 23:00:00,34698.33148128372
2015-07-02 00:00:00,31687.550429237242
2015-07-02 01:00:00,29699.034259254735
2015-07-02 02:00:00,28361.509972506523
2015-07-02 03:00:00,27584.042106764733
2015-07-02 04:00:00,27541.396434703685
2015-07-02 05:00:00,28442.14412811375
2015-07-02 06:00:00,30054.34323267462
2015-07-02 07:00:00,31750.43582790422
2015-07-02 08:00:00,33287.59430249843
2015-07-02 09:00:00,34770.77684033758
2015-07-02 10:00:00,36247.74766844543
2015-07-02 11:00:00,37684.68806943565
2015-07-02 12:00:00,39108.70703789303
2015-07-02 13:00:00,40746.97582531179
2015-07-02 14:00:00,42442.98017241856
2015-07-02 15:00:00,43941.25319932333
2015-07-02 16:00:00,45027.73414378008
2015-07-02 17:00:00,45405.48784463189
2015-07-02 18:00:00,44822.11200160109
2015-07-02 19:00:00,43778.77856174551
2015-07-02 20:00:00,42655.11085011061
2015-07-02 21:00:00,40869.01060680522
2015-07-02 22:00:00,37738.36626621627
2015-07-02 23:00:00,34218.93208982772
2015-07-03 00:00:00,32013.347239092313
2015-07-03 01:00:00,30022.45160931215
2015-07-03 02:00:00,28683.737053726363
2015-07-03 03:00:00,27905.922037532393
2015-07-03 04:00:00,27863.38103473927
2015-07-03 05:00:00,28764.25471359727
2015-07-03 06:00:00,30376.13818773521
2015-07-03 07:00:00,32070.985616868584
2015-07-03 08:00:00,33605.464487031
2015-07-03 09:00:00,35084.01955573553
2015-07-03 10:00:00,36553.9018968018
2015-07-03 11:00:00,37980.78892530432
2015-07-03 12:00:00,39391.304155601756
2015-07-03 13:00:00,41012.16080855344
2015-07-03 14:00:00,42686.422937232026
2015-07-03 15:00:00,44158.246913143565
2015-07-03 16:00:00,45213.248337974976
2015-07-03 17:00:00,45554.22915610424
2015-07-03 18:00:00,44928.59188434622
2015-07-03 19:00:00,43837.387201294325
2015-07-03 20:00:00,42660.196415430386
2015-07-03 21:00:00,40814.962885403
2015-07-03 22:00:00,37619.703653409415
2015-07-03 23:00:00,34030.39083642386
2015-07-04 00:00:00,29059.96138746305
2015-07-04 01:00:00,27021.932597807965
2015-07-04 02:00:00,25546.99027119617
2015-07-04 03:00:00,24530.461410760043
2015-07-04 04:00:00,24012.096500253374
2015-07-04 05:00:00,23971.411685639967
2015-07-04 06:00:00,24092.257283094717
2015-07-04 07:00:00,24529.963069501257
2015-07-04 08:00:00,25662.476786053256
2015-07-04 09:00:00,27145.09429204164
2015-07-04 10:00:00,28609.519403318434
2015-07-04 11:00:00,30099.063933519825
2015-07-04 12:00:00,31613.61830751699
2015-07-04 13:00:00,33189.92252045877
2015-07-04 14:00:00,34783.20183836075
2015-07-04 15:00:00,36270.06664337857
2015-07-04 16:00:00,37479.24263917937
2015-07-04 17:00:00,38167.33857586945
2015-07-04 18:00:00,38082.35239957628
2015-07-04 19:00:00,37279.10837964618
2015-07-04 20:00:00,36254.539609714775
2015-07-04 21:00:00,34710.351195679104
2015-07-04 22:00:00,32015.52675449602
2015-07-04 23:00:00,28897.795501989665
2015-07-05 00:00:00,30136.56292034295
2015-07-05 01:00:00,28159.909100790464
2015-07-05 02:00:00,26761.04053710586
2015-07-05 03:00:00,25835.271300511224
2015-07-05 04:00:00,25422.207483977254
2015-07-05 05:00:00,25501.088218067634
2015-07-05 06:00:00,25755.354435217778
2015-07-05 07:00:00,26339.795850008115
2015-07-05 08:00:00,27631.692581223804
2015-07-05 09:00:00,29285.54983071031
2015-07-05 10:00:00,30932.163614345
2015-07-05 11:00:00,32613.82800914723
2015-07-05 12:00:00,34329.314216083825
2015-07-05 13:00:00,36114.15112425758
2015-07-05 14:00:00,37922.27167619663
2015-07-05 15:00:00,39628.92432271745
2015-07-05 16:00:00,41061.41566215398
2015-07-05 17:00:00,41974.89128613471
2015-07-05 18:00:00,42115.85559862794
2015-07-05 19:00:00,41537.62301021051
2015-07-05 20:00:00,40735.61474999266
2015-07-05 21:00:00,39410.03645242824
2015-07-05 22:00:00,36928.39898196815
2015-07-05 23:00:00,34016.99961703349
2015-07-06 00:00:00,29597.336248987383
2015-07-06 01:00:00,27776.981590562867
2015-07-06 02:00:00,26608.665602644465
2015-07-06 03:00:00,26000.530257770166
2015-07-06 04:00:00,26126.42754313516
2015-07-06 05:00:00,27194.033289807638
2015-07-06 06:00:00,28970.53818626177
2015-07-06 07:00:00,30827.554235320546
2015-07-06 08:00:00,32521.469971350623
2015-07-06 09:00:00,34156.5144231704
2015-07-06 10:00:00,35779.78526880662
2015-07-06 11:00:00,37356.86708678868
2015-07-06 12:00:00,38914.348491964105
2015-07-06 13:00:00,40678.96231833726
2015-07-06 14:00:00,42493.842575684095
2015-07-06 15:00:00,44103.261088055544
2015-07-06 16:00:00,45292.98895468888
2015-07-06 17:00:00,45766.017691887064
2015-07-06 18:00:00,45269.967061911455
2015-07-06 19:00:00,44306.12592633127
2015-07-06 20:00:00,43254.32774271162
2015-07-06 21:00:00,41532.7748797755
2015-07-06 22:00:00,38459.74311603694
2015-07-06 23:00:00,34991.45597006496
2015-07-07 00:00:00,32022.037490052313
2015-07-07 01:00:00,30071.063470961522
2015-07-07 02:00:00,28767.64209213355
2015-07-07 03:00:00,28021.22238173749
2015-07-07 04:00:00,28006.9542056014
2015-07-07 05:00:00,28933.78901163853
2015-07-07 06:00:00,30570.158201913455
2015-07-07 07:00:00,32288.867532274147
2015-07-07 08:00:00,33847.44098723947
2015-07-07 09:00:00,35351.174235802755
2015-07-07 10:00:00,36848.15322886035
2015-07-07 11:00:00,38304.863937284186
2015-07-07 12:00:00,39748.70210647928
2015-07-07 13:00:00,41407.10726005913
2015-07-07 14:00:00,43123.81473509543
2015-07-07 15:00:00,44643.58869709709
2015-07-07 16:00:00,45752.581299815545
2015-07-07 17:00:00,46154.052855798116
2015-07-07 18:00:00,45595.780015459546
2015-07-07 19:00:00,44579.09826813513
2015-07-07 20:00:00,43483.78034355898
2015-07-07 21:00:00,41727.86463442207
2015-07-07 22:00:00,38629.36493572245
2015-07-07 23:00:00,35144.15106697056
2015-07-08 00:00:00,32165.908909513244
2015-07-08 01:00:00,30213.69972541282
2015-07-08 02:00:00,28916.049630451456
2015-07-08 03:00:00,28181.76751063054
2015-07-08 04:00:00,28185.314948316587
2015-07-08 05:00:00,29134.917255345164
2015-07-08 06:00:00,30798.252350353043
2015-07-08 07:00:00,32547.3557414133
2015-07-08 08:00:00,34138.9749249821
2015-07-08 09:00:00,35677.63317381351
2015-07-08 10:00:00,37210.65814058397
2015-07-08 11:00:00,38703.80115504027
2015-07-08 12:00:00,40183.755970274244
2015-07-08 13:00:00,41877.30108382247
2015-07-08 14:00:00,43627.559314730446
2015-07-08 15:00:00,45178.737499309136
2015-07-08 16:00:00,46316.491394808545
2015-07-08 17:00:00,46743.65059382706
2015-07-08 18:00:00,46207.63039983403
2015-07-08 19:00:00,45209.47694388843
2015-07-08 20:00:00,44128.747101149565
2015-07-08 21:00:00,42383.33732449832
2015-07-08 22:00:00,39291.19270181829
2015-07-08 23:00:00,35808.18582863907
2015-07-09 00:00:00,32828.07406825972
2015-07-09 01:00:00,30870.055119697106
2015-07-09 02:00:00,29562.851832110362
2015-07-09 03:00:00,28815.524633859746
2015-07-09 04:00:00,28802.835231377823
2015-07-09 05:00:00,29733.35077403755
2015-07-09 06:00:00,31375.125329528157
2015-07-09 07:00:00,33100.59704448472
2015-07-09 08:00:00,34666.93442027442
2015-07-09 09:00:00,36179.09179977359
2015-07-09 10:00:00,37684.82961575939
2015-07-09 11:00:00,39150.325404015275
2015-07-09 12:00:00,40602.68446022585
2015-07-09 13:00:00,42269.074385460684
2015-07-09 14:00:00,43992.97731912318
2015-07-09 15:00:00,45518.9228294831
2015-07-09 16:00:00,46632.84665263158
2015-07-09 17:00:00,47037.81017627737
2015-07-09 18:00:00,46481.40770016015
2015-07-09 19:00:00,45464.8078229161
2015-07-09 20:00:00,44367.63057322796
2015-07-09 21:00:00,42607.774447446776
2015-07-09 22:00:00,39503.12468914289
2015-07-09 23:00:00,36009.43242243209
2015-07-10 00:00:00,33020.273210994
2015-07-10 01:00:00,31054.60494961957
2015-07-10 02:00:00,29740.856002820186
2015-07-10 03:00:00,28987.741916497114
2015-07-10 04:00:00,28969.63430086379
2015-07-10 05:00:00,29894.67101646772
2015-07-10 06:00:00,31530.444425228132
2015-07-10 07:00:00,33248.90599204404
2015-07-10 08:00:00,34806.720565033844
2015-07-10 09:00:00,36308.33032113598
2015-07-10 10:00:00,37800.98381128855
2015-07-10 11:00:00,39250.3559856385
2015-07-10 12:00:00,40683.06795194517
2015-07-10 13:00:00,42325.83058303167
2015-07-10 14:00:00,44021.70564276988
2015-07-10 15:00:00,45514.84727266427
2015-07-10 16:00:00,46590.86890376619
2015-07-10 17:00:00,46952.570369457826
2015-07-10 18:00:00,46347.352135462075
2015-07-10 19:00:00,45276.26288935879
2015-07-10 20:00:00,44118.88200900301
2015-07-10 21:00:00,42293.15098283146
2015-07-10 22:00:00,39117.08504366058
2015-07-10 23:00:00,35546.654559918796
2015-07-11 00:00:00,34868.06510052044
2015-07-11 01:00:00,32848.29172374396
2015-07-11 02:00:00,31391.288971811413
2015-07-11 03:00:00,30392.382344428348
2015-07-11 04:00:00,29891.32088357236
2015-07-11 05:00:00,29867.61935512952
2015-07-11 06:00:00,30005.126757027305
2015-07-11 07:00:00,30459.17160981014
2015-07-11 08:00:00,31607.700460281867
2015-07-11 09:00:00,33106.00803532026
2015-07-11 10:00:00,34585.79708077615
2015-07-11 11:00:00,36090.378401931725
2015-07-11 12:00:00,37619.64147777564
2015-07-11 13:00:00,39210.32541954494
2015-07-11 14:00:00,40817.6546719438
2015-07-11 15:00:00,42318.23885732442
2015-07-11 16:00:00,43540.8029821508
2015-07-11 17:00:00,44241.95516131246
2015-07-11 18:00:00,44169.69276777977
2015-07-11 19:00:00,43378.83955976467
2015-07-11 20:00:00,42366.3281816761
2015-07-11 21:00:00,40833.863352131266
2015-07-11 22:00:00,38150.42836249398
2015-07-11 23:00:00,35043.75216466237
2015-07-12 00:00:00,32829.0302495065
2015-07-12 01:00:00,30862.762145461882
2015-07-12 02:00:00,29473.944477647092
2015-07-12 03:00:00,28557.891298862927
2015-07-12 04:00:00,28154.20874464865
2015-07-12 05:00:00,28242.13604894412
2015-07-12 06:00:00,28505.114308225955
2015-07-12 07:00:00,29097.93346156914
2015-07-12 08:00:00,30397.873912494306
2015-07-12 09:00:00,32059.441207618995
2015-07-12 10:00:00,33713.43176740632
2015-07-12 11:00:00,35402.14013304434
2015-07-12 12:00:00,37124.33802899769
2015-07-12 13:00:00,38915.55492695492
2015-07-12 14:00:00,40729.72441066809
2015-07-12 15:00:00,42442.09563121253
2015-07-12 16:00:00,43879.97594471775
2015-07-12 17:00:00,44798.51175896326
2015-07-12 18:00:00,44944.20835165343
2015-07-12 19:00:00,44370.38106429698
2015-07-12 20:00:00,43572.452114040614
2015-07-12 21:00:00,42250.628179885345
2015-07-12 22:00:00,39772.42122717961
2015-07-12 23:00:00,36864.1296911551
2015-07-13 00:00:00,32447.252675491436
2015-07-13 01:00:00,30629.364160462675
2015-07-13 02:00:00,29463.19542916821
2015-07-13 03:00:00,28856.88983086556
2015-07-13 04:00:00,28984.300783339648
2015-07-13 05:00:00,30053.105601799045
2015-07-13 06:00:00,31830.496511985028
2015-07-13 07:00:00,33688.087106661675
2015-07-13 08:00:00,35382.26756236167
2015-07-13 09:00:00,37017.26860180414
2015-07-13 10:00:00,38640.18964825922
2015-07-13 11:00:00,40216.61707631056
2015-07-13 12:00:00,41773.14134718209
2015-07-13 13:00:00,43536.49719110427
2015-07-13 14:00:00,45349.820563420835
2015-07-13 15:00:00,46957.38528261492
2015-07-13 16:00:00,48144.964490631595
2015-07-13 17:00:00,48615.551794285544
2015-07-13 18:00:00,48116.76909361756
2015-07-13 19:00:00,47149.90743465274
2015-07-13 20:00:00,46094.802505591455
2015-07-13 21:00:00,44369.65895136965
2015-07-13 22:00:00,41292.75487180117
2015-07-13 23:00:00,37820.31615128395
2015-07-14 00:00:00,34846.46924714185
2015-07-14 01:00:00,32890.7924076957
2015-07-14 02:00:00,31582.396307664407
2015-07-14 03:00:00,30830.732512898354
2015-07-14 04:00:00,30810.953468310596
2015-07-14 05:00:00,31732.01324182123
2015-07-14 06:00:00,33362.34589569286
2015-07-14 07:00:00,35074.759885572035
2015-07-14 08:00:00,36626.78193474314
2015-07-14 09:00:00,38123.710489321355
2015-07-14 10:00:00,39613.63431485414
2015-07-14 11:00:00,41063.04223422587
2015-07-14 12:00:00,42499.33288072916
2015-07-14 13:00:00,44149.948701888774
2015-07-14 14:00:00,45858.627993546266
2015-07-14 15:00:00,47370.13791437713
2015-07-14 16:00:00,48470.63364494189
2015-07-14 17:00:00,48863.37855750765
2015-07-14 18:00:00,48296.15239451453
2015-07-14 19:00:00,47270.29376885279
2015-07-14 20:00:00,46165.5785647016
2015-07-14 21:00:00,44400.04835932434
2015-07-14 22:00:00,41291.72016172083
2015-07-14 23:00:00,37796.46703413303
2015-07-15 00:00:00,34807.97812863838
2015-07-15 01:00:00,32845.31800526131
2015-07-15 02:00:00,31537.016104328577
2015-07-15 03:00:00,30791.88466215217
2015-07-15 04:00:00,30784.388636497093
2015-07-15 05:00:00,31722.756738897115
2015-07-15 06:00:00,33374.670311284535
2015-07-15 07:00:00,35112.16830786066
2015-07-15 08:00:00,36692.0016932794
2015-07-15 09:00:00,38218.69722982722
2015-07-15 10:00:00,39739.58608024441
2015-07-15 11:00:00,41220.423104145884
2015-07-15 12:00:00,42687.905603775886
2015-07-15 13:00:00,44368.815643683105
2015-07-15 14:00:00,46106.27962774115
2015-07-15 15:00:00,47644.507993708496
2015-07-15 16:00:00,48769.16011648272
2015-07-15 17:00:00,49183.069221184065
2015-07-15 18:00:00,48633.654258459035
2015-07-15 19:00:00,47621.96502021451
2015-07-15 20:00:00,46527.56205510256
2015-07-15 21:00:00,44768.345501926495
2015-07-15 22:00:00,41662.26414567414
2015-07-15 23:00:00,38165.19428946913
2015-07-16 00:00:00,35170.89701409096
2015-07-16 01:00:00,33198.573744944304
2015-07-16 02:00:00,31876.95106583169
2015-07-16 03:00:00,31115.093147180673
2015-07-16 04:00:00,31087.765444128127
2015-07-16 05:00:00,32003.538860631772
2015-07-16 06:00:00,33630.47122411091
2015-07-16 07:00:00,35341.004445123646
2015-07-16 08:00:00,36892.31079263731
2015-07-16 09:00:00,38389.34837977735
2015-07-16 10:00:00,39879.881411609225
2015-07-16 11:00:00,41330.09119739556
2015-07-16 12:00:00,42767.08680671209
2015-07-16 13:00:00,44418.03961421315
2015-07-16 14:00:00,46126.43553174117
2015-07-16 15:00:00,47636.80789812823
2015-07-16 16:00:00,48735.09621738598
2015-07-16 17:00:00,49124.36564172444
2015-07-16 18:00:00,48552.21423120391
2015-07-16 19:00:00,47519.81433979498
2015-07-16 20:00:00,46406.789745988
2015-07-16 21:00:00,44631.042689021764
2015-07-16 22:00:00,41510.46214875765
2015-07-16 23:00:00,38000.80297726943
2015-07-17 00:00:00,34995.64445767486
2015-07-17 01:00:00,33013.94819419319
2015-07-17 02:00:00,31684.146251424096
2015-07-17 03:00:00,30914.957863831154
2015-07-17 04:00:00,30880.75831869887
2015-07-17 05:00:00,31789.689141196624
2015-07-17 06:00:00,33409.34634476977
2015-07-17 07:00:00,35111.685031948495
2015-07-17 08:00:00,36653.37367395296
2015-07-17 09:00:00,38138.85805551756
2015-07-17 10:00:00,39615.39031936048
2015-07-17 11:00:00,41048.64899074669
2015-07-17 12:00:00,42465.25873510234
2015-07-17 13:00:00,44091.93396481413
2015-07-17 14:00:00,45771.73996458427
2015-07-17 15:00:00,47248.834377188796
2015-07-17 16:00:00,48308.83411484203
2015-07-17 17:00:00,48654.54247124197
2015-07-17 18:00:00,48033.36335089718
2015-07-17 19:00:00,46946.34885802602
2015-07-17 20:00:00,45773.08176427739
2015-07-17 21:00:00,43931.50692840929
2015-07-17 22:00:00,40739.64292939924
2015-07-17 23:00:00,37153.46345710631
2015-07-18 00:00:00,36459.17737642896
2015-07-18 01:00:00,34423.76301559881
2015-07-18 02:00:00,32951.17816014413
2015-07-18 03:00:00,31936.751525789015
2015-07-18 04:00:00,31420.235342650765
2015-07-18 05:00:00,31381.147536244524
2015-07-18 06:00:00,31503.340235093132
2015-07-18 07:00:00,31942.145060585015
2015-07-18 08:00:00,33075.51163022135
2015-07-18 09:00:00,34558.73771064738
2015-07-18 10:00:00,36023.5290561356
2015-07-18 11:00:00,37513.199448442014
2015-07-18 12:00:00,39027.64131039614
2015-07-18 13:00:00,40603.5966644374
2015-07-18 14:00:00,42196.29283226417
2015-07-18 15:00:00,43682.34227955488
2015-07-18 16:00:00,44890.47282126487
2015-07-18 17:00:00,45577.295345820676
2015-07-18 18:00:00,45490.809963791944
2015-07-18 19:00:00,44685.84313506122
2015-07-18 20:00:00,43659.330168974084
2015-07-18 21:00:00,42112.97841195001
2015-07-18 22:00:00,39415.77374561672
2015-07-18 23:00:00,36295.447674048424
2015-07-19 00:00:00,34067.19820177332
2015-07-19 01:00:00,32087.527331914596
2015-07-19 02:00:00,30685.43412491975
2015-07-19 03:00:00,29756.235029055402
2015-07-19 04:00:00,29339.538535111547
2015-07-19 05:00:00,29414.586191614995
2015-07-19 06:00:00,29664.821368564804
2015-07-19 07:00:00,30245.036237147888
2015-07-19 08:00:00,31532.513391100598
2015-07-19 09:00:00,33181.76052510226
2015-07-19 10:00:00,34823.576165110295
2015-07-19 11:00:00,36500.25691483746
2015-07-19 12:00:00,38210.57651804209
2015-07-19 13:00:00,39990.066422083975
2015-07-19 14:00:00,41792.6621424624
2015-07-19 15:00:00,43493.6147177587
2015-07-19 16:00:00,44920.233346982066
2015-07-19 17:00:00,45827.66623603331
2015-07-19 18:00:00,45962.42041557793
2015-07-19 19:00:00,45377.81293458891
2015-07-19 20:00:00,44569.26767203919
2015-07-19 21:00:00,43236.9929229144
2015-07-19 22:00:00,40748.50222192114
2015-07-19 23:00:00,37830.09552786578
2015-07-20 00:00:00,33403.2734208766
2015-07-20 01:00:00,31575.61131101975
2015-07-20 02:00:00,30399.8418637416
2015-07-20 03:00:00,29784.109763844528
2015-07-20 04:00:00,29902.269716904884
2015-07-20 05:00:00,30962.000278253978
2015-07-20 06:00:00,32730.494866050132
2015-07-20 07:00:00,34579.368217397074
2015-07-20 08:00:00,36265.01160506478
2015-07-20 09:00:00,37891.65679976303
2015-07-20 10:00:00,39506.40422436085
2015-07-20 11:00:00,41074.8412044984
2015-07-20 12:00:00,42623.55910385318
2015-07-20 13:00:00,44379.29350643727
2015-07-20 14:00:00,46185.18117253508
2015-07-20 15:00:00,47785.49667667576
2015-07-20 16:00:00,48966.013867958056
2015-07-20 17:00:00,49429.72701133879
2015-07-20 18:00:00,48924.25861594789
2015-07-20 19:00:00,47950.90028786607
2015-07-20 20:00:00,46889.4882261812
2015-07-20 21:00:00,45158.22753769983
2015-07-20 22:00:00,42075.39673489089
2015-07-20 23:00:00,38597.222065781985
2015-07-21 00:00:00,35617.830302174065
2015-07-21 01:00:00,33656.79995784257
2015-07-21 02:00:00,32343.241923961104
2015-07-21 03:00:00,31586.607933655232
2015-07-21 04:00:00,31562.05055049561
2015-07-21 05:00:00,32478.52391200242
2015-07-21 06:00:00,34104.46210123985
2015-07-21 07:00:00,35812.6735462932
2015-07-21 08:00:00,37360.684893800484
2015-07-21 09:00:00,38853.79446505436
2015-07-21 10:00:00,40340.09085238903
