ds,yhat
2015-07-01 00:00:00,30231.68604075884
2015-07-01 01:00:00,28420.677239153876
2015-07-01 02:00:00,27210.18332879197
2015-07-01 03:00:00,26518.416809183153
2015-07-01 04:00:00,26507.57060738639
2015-07-01 05:00:00,27362.24677272923
2015-07-01 06:00:00,28870.68358453074
2015-07-01 07:00:00,30455.088904965265
2015-07-01 08:00:00,31884.721715751268
2015-07-01 09:00:00,33252.78859395864
2015-07-01 10:00:00,34603.37138676569
2015-07-01 11:00:00,35904.46249188214
2015-07-01 12:00:00,37186.72434669375
2015-07-01 13:00:00,38674.087238538275
2015-07-01 14:00:00,40226.307284368995
2015-07-01 15:00:00,41612.195186577
2015-07-01 16:00:00,42633.62016717306
2015-07-01 17:00:00,43016.46607188349
2015-07-01 18:00:00,42528.303661593505
2015-07-01 19:00:00,41641.78632381482
2015-07-01 20:00:00,40657.30360923263
2015-07-01 21:00:00,39040.01189214433
2015-07-01 22:00:00,36174.11978240713
2015-07-01 23:00:00,32963.46355858394
2015-07-02 00:00:00,30254.848116278397
2015-07-02 01:00:00,28438.27922402485
2015-07-02 02:00:00,27219.657680869233
2015-07-02 03:00:00,26517.390350752514
2015-07-02 04:00:00,26493.493774245533
2015-07-02 05:00:00,27331.682203033037
2015-07-02 06:00:00,28819.188961388616
2015-07-02 07:00:00,30378.438024470088
2015-07-02 08:00:00,31779.437258044152
2015-07-02 09:00:00,33115.649216053345
2015-07-02 10:00:00,34431.45987293586
2015-07-02 11:00:00,35695.54046234974
2015-07-02 12:00:00,36938.98595606852
2015-07-02 13:00:00,38384.65526232657
2015-07-02 14:00:00,39893.56812106189
2015-07-02 15:00:00,41237.10657169127
2015-07-02 16:00:00,42220.05427897356
2015-07-02 17:00:00,42572.4138513538
2015-07-02 18:00:00,42065.83766985383
2015-07-02 19:00:00,41169.151343923535
2015-07-02 20:00:00,40179.69839882495
2015-07-02 21:00:00,38569.00467704797
2015-07-02 22:00:00,35729.02636838026
2015-07-02 23:00:00,32552.44705349015
2015-07-03 00:00:00,32369.2944834392
2015-07-03 01:00:00,30424.743075982467
2015-07-03 02:00:00,29121.568390459437
2015-07-03 03:00:00,28371.979549097414
2015-07-03 04:00:00,28348.983855520022
2015-07-03 05:00:00,29248.960990904525
2015-07-03 06:00:00,30844.04203508337
2015-07-03 07:00:00,32515.680155716702
2015-07-03 08:00:00,34017.027902111884
2015-07-03 09:00:00,35447.31616038201
2015-07-03 10:00:00,36853.16626251717
2015-07-03 11:00:00,38200.07735101109
2015-07-03 12:00:00,39520.301198694266
2015-07-03 13:00:00,41051.0993369568
2015-07-03 14:00:00,42642.437784644615
2015-07-03 15:00:00,44048.719621429176
2015-07-03 16:00:00,45060.745692516946
2015-07-03 17:00:00,45390.63453960374
2015-07-03 18:00:00,44796.71272506638
2015-07-03 19:00:00,43780.90547438948
2015-07-03 20:00:00,42661.07504859071
2015-07-03 21:00:00,40878.18504928943
2015-07-03 22:00:00,37793.67159896719
2015-07-03 23:00:00,34359.36830510894
2015-07-04 00:00:00,27974.845237981397
2015-07-04 01:00:00,26257.08682380569
2015-07-04 02:00:00,25016.010271832612
2015-07-04 03:00:00,24167.17727292448
2015-07-04 04:00:00,23742.802843615773
2015-07-04 05:00:00,23722.821362610404
2015-07-04 06:00:00,23836.063498259504
2015-07-04 07:00:00,24211.00213799853
2015-07-04 08:00:00,25164.73457193355
2015-07-04 09:00:00,26403.516538550222
2015-07-04 10:00:00,27605.48164476765
2015-07-04 11:00:00,28808.286586964292
2015-07-04 12:00:00,30017.426426178907
2015-07-04 13:00:00,31278.37858293469
2015-07-04 14:00:00,32549.719790245956
2015-07-04 15:00:00,33748.43800897613
2015-07-04 16:00:00,34728.18078120099
2015-07-04 17:00:00,35291.459251103595
2015-07-04 18:00:00,35226.77048990864
