ds,yhat
2015-07-01 00:00:00,31274.3223714602
2015-07-01 01:00:00,29582.457008571753
2015-07-01 02:00:00,28471.85146389993
2015-07-01 03:00:00,27920.333574863
2015-07-01 04:00:00,27967.424972797515
2015-07-01 05:00:00,28671.67801114264
2015-07-01 06:00:00,29946.926882266718
2015-07-01 07:00:00,31479.74379843662
2015-07-01 08:00:00,32857.641354877676
2015-07-01 09:00:00,33821.759726026634
2015-07-01 10:00:00,34419.26960942002
2015-07-01 11:00:00,34913.784027907925
2015-07-01 12:00:00,35538.05992924307
2015-07-01 13:00:00,36318.326236754125
2015-07-01 14:00:00,37119.27943549809
2015-07-01 15:00:00,37834.08696995405
2015-07-01 16:00:00,38500.82729071091
2015-07-01 17:00:00,39210.26132567144
2015-07-01 18:00:00,39896.24713256549
2015-07-01 19:00:00,40239.778684196746
2015-07-01 20:00:00,39824.16786488338
2015-07-01 21:00:00,38437.69264184002
2015-07-01 22:00:00,36266.44456062232
2015-07-01 23:00:00,33807.34565121988
2015-07-02 00:00:00,31578.374102568006
2015-07-02 01:00:00,29873.80658861611
2015-07-02 02:00:00,28747.31885784957
2015-07-02 03:00:00,28177.069113827136
2015-07-02 04:00:00,28202.954713976895
2015-07-02 05:00:00,28883.94114735499
2015-07-02 06:00:00,30134.304694128172
2015-07-02 07:00:00,31641.07977036334
2015-07-02 08:00:00,32992.25220884942
2015-07-02 09:00:00,33929.43726348112
2015-07-02 10:00:00,34500.273387484456
2015-07-02 11:00:00,34968.82503486166
2015-07-02 12:00:00,35568.27555599013
2015-07-02 13:00:00,36325.246972124645
2015-07-02 14:00:00,37104.78783623563
2015-07-02 15:00:00,37800.3695731991
2015-07-02 16:00:00,38450.32024196522
2015-07-02 17:00:00,39145.59059272846
2015-07-02 18:00:00,39820.164259236306
2015-07-02 19:00:00,40155.09310839398
2015-07-02 20:00:00,39733.67688205635
2015-07-02 21:00:00,38344.11013750983
2015-07-02 22:00:00,36172.329660110576
2015-07-02 23:00:00,33715.03244691364
2015-07-03 00:00:00,31489.903611999507
2015-07-03 01:00:00,29790.86207387455
2015-07-03 02:00:00,28671.16560070604
2015-07-03 03:00:00,28108.499687422405
2015-07-03 04:00:00,28142.240721931736
2015-07-03 05:00:00,28830.79232185889
2015-07-03 06:00:00,30087.836148119914
2015-07-03 07:00:00,31599.78809294812
2015-07-03 08:00:00,32954.00097628629
2015-07-03 09:00:00,33891.45241240651
2015-07-03 10:00:00,34459.14876415389
2015-07-03 11:00:00,34920.53829601273
2015-07-03 12:00:00,35508.21445477844
2015-07-03 13:00:00,36248.24591891154
2015-07-03 14:00:00,37005.174479948684
2015-07-03 15:00:00,37672.02100731667
2015-07-03 16:00:00,38286.728301066854
2015-07-03 17:00:00,38939.93557284038
2015-07-03 18:00:00,39565.396270683945
2015-07-03 19:00:00,39844.020152918914
2015-07-03 20:00:00,39359.05864207198
2015-07-03 21:00:00,37898.75637022073
2015-07-03 22:00:00,35649.20201151323
2015-07-03 23:00:00,33107.348433076586
2015-07-04 00:00:00,30791.24146625297
2015-07-04 01:00:00,28995.265125719634
2015-07-04 02:00:00,27773.24483329174
2015-07-04 03:00:00,27103.533120985194
2015-07-04 04:00:00,27026.268289931068
2015-07-04 05:00:00,27600.704938312872
2015-07-04 06:00:00,28741.457717248857
2015-07-04 07:00:00,30135.94928052431
2015-07-04 08:00:00,31372.603643313472
2015-07-04 09:00:00,32193.52371111586
2015-07-04 10:00:00,32646.884007772274
2015-07-04 11:00:00,32997.3318358753
2015-07-04 12:00:00,33478.6779337962
2015-07-04 13:00:00,34118.213413909136
2015-07-04 14:00:00,34781.69419587508
2015-07-04 15:00:00,35363.33334319496
2015-07-04 16:00:00,35902.230267976105
2015-07-04 17:00:00,36490.13170619275
2015-07-04 18:00:00,37061.836341225666
2015-07-04 19:00:00,37299.22414052608
2015-07-04 20:00:00,36786.429592063345
2015-07-04 21:00:00,35312.48190157417
2015-07-04 22:00:00,33064.14538786518
2015-07-04 23:00:00,30538.930239318808
2015-07-05 00:00:00,28255.313054110044
2015-07-05 01:00:00,26507.97509930641
2015-07-05 02:00:00,25350.8999390069
2015-07-05 03:00:00,24762.454983994885
2015-07-05 04:00:00,24782.647500879564
2015-07-05 05:00:00,25470.454037971085
2015-07-05 06:00:00,26740.064653369544
2015-07-05 07:00:00,28278.332917804873
2015-07-05 08:00:00,29672.972898690787
2015-07-05 09:00:00,30665.241856103887
2015-07-05 10:00:00,31302.33963206931
2015-07-05 11:00:00,31847.81790316315
2015-07-05 12:00:00,32534.280277707767
2015-07-05 13:00:00,33387.70992412631
2015-07-05 14:00:00,34272.4658324796
2015-07-05 15:00:00,35081.287990161785
2015-07-05 16:00:00,35851.74029929182
2015-07-05 17:00:00,36673.98598770729
2015-07-05 18:00:00,37481.2072348142
2015-07-05 19:00:00,37953.649912065564
2015-07-05 20:00:00,37673.81245486028
2015-07-05 21:00:00,36429.10175470229
2015-07-05 22:00:00,34404.68913498651
2015-07-05 23:00:00,32096.536400840603
2015-07-06 00:00:00,30021.6312186425
2015-07-06 01:00:00,28473.239591747046
2015-07-06 02:00:00,27504.01693048368
2015-07-06 03:00:00,27091.102118057282
2015-07-06 04:00:00,27273.384973731132
2015-07-06 05:00:00,28108.845945930487
2015-07-06 06:00:00,29510.809309406057
2015-07-06 07:00:00,31165.400742838185
2015-07-06 08:00:00,32659.750413882117
2015-07-06 09:00:00,33734.68023950508
2015-07-06 10:00:00,34437.10625819702
2015-07-06 11:00:00,35030.4492577754
2015-07-06 12:00:00,35747.3346321447
2015-07-06 13:00:00,36613.918164453215
2015-07-06 14:00:00,37494.87886806503
2015-07-06 15:00:00,38283.4192140939
2015-07-06 16:00:00,39017.70163691406
2015-07-06 17:00:00,39788.61615292146
2015-07-06 18:00:00,40530.1909095224
2015-07-06 19:00:00,40923.626676182415
2015-07-06 20:00:00,40552.474419427046
2015-07-06 21:00:00,39205.27898626102
2015-07-06 22:00:00,37068.42210552826
2015-07-06 23:00:00,34639.1348521191
2015-07-07 00:00:00,32435.718988058128
2015-07-07 01:00:00,30752.785113230875
2015-07-07 02:00:00,29644.349289900147
2015-07-07 03:00:00,29088.9127080171
2015-07-07 04:00:00,29126.714958433527
2015-07-07 05:00:00,29817.059908278854
2015-07-07 06:00:00,31074.555606157457
2015-07-07 07:00:00,32586.559242929034
2015-07-07 08:00:00,33941.36843267024
2015-07-07 09:00:00,34880.89760771877
2015-07-07 10:00:00,35453.070582419416
2015-07-07 11:00:00,35922.22252705714
2015-07-07 12:00:00,36521.792413589836
2015-07-07 13:00:00,37278.642700407254
2015-07-07 14:00:00,38058.04744113431
2015-07-07 15:00:00,38753.68918287799
2015-07-07 16:00:00,39404.09356446115
2015-07-07 17:00:00,40100.39645111943
2015-07-07 18:00:00,40776.755406647004
2015-07-07 19:00:00,41114.38648162682
2015-07-07 20:00:00,40696.74540951976
2015-07-07 21:00:00,39312.17616936861
2015-07-07 22:00:00,37146.760043775575
2015-07-07 23:00:00,34697.33522257691
2015-07-08 00:00:00,32481.72625819845
2015-07-08 01:00:00,30793.99118970154
2015-07-08 02:00:00,29687.527867615117
2015-07-08 03:00:00,29140.163914911474
2015-07-08 04:00:00,29191.420747811437
2015-07-08 05:00:00,29899.850504001137
2015-07-08 06:00:00,31179.287159459855
2015-07-08 07:00:00,32716.302709456857
2015-07-08 08:00:00,34098.40953153606
2015-07-08 09:00:00,35066.74758212221
2015-07-08 10:00:00,35668.48733973602
2015-07-08 11:00:00,36167.241607929675
2015-07-08 12:00:00,36795.7671144337
2015-07-08 13:00:00,37580.292562166556
2015-07-08 14:00:00,38385.51421500364
2015-07-08 15:00:00,39104.599295841996
2015-07-08 16:00:00,39775.626033118446
2015-07-08 17:00:00,40489.35513205807
2015-07-08 18:00:00,41179.64442720101
2015-07-08 19:00:00,41527.48766766787
2015-07-08 20:00:00,41116.1965135762
2015-07-08 21:00:00,39734.04870747945
2015-07-08 22:00:00,37567.135569792765
2015-07-08 23:00:00,35112.37890490709
2015-07-09 00:00:00,32887.75667568293
2015-07-09 01:00:00,31187.545329571854
2015-07-09 02:00:00,30065.420388126415
2015-07-09 03:00:00,29499.539827544533
2015-07-09 04:00:00,29529.80077747985
2015-07-09 05:00:00,30215.168498812694
2015-07-09 06:00:00,31469.919043149355
2015-07-09 07:00:00,32981.08659759121
2015-07-09 08:00:00,34336.65676560184
2015-07-09 09:00:00,35278.24457140504
2015-07-09 10:00:00,35853.488238182435
2015-07-09 11:00:00,36326.45198955392
2015-07-09 12:00:00,36930.318945188155
2015-07-09 13:00:00,37691.71089530424
2015-07-09 14:00:00,38475.67616153678
2015-07-09 15:00:00,39175.685937093265
2015-07-09 16:00:00,39830.06804901514
2015-07-09 17:00:00,40529.77301523075
2015-07-09 18:00:00,41208.78423712231
2015-07-09 19:00:00,41548.15334872731
2015-07-09 20:00:00,41131.17985894346
2015-07-09 21:00:00,39746.05809183749
2015-07-09 22:00:00,37578.72459929841
2015-07-09 23:00:00,35125.876144694485
2015-07-10 00:00:00,32905.19760823415
2015-07-10 01:00:00,31210.607674332445
2015-07-10 02:00:00,30095.363876885956
2015-07-10 03:00:00,29537.15147636847
2015-07-10 04:00:00,29575.346626076363
2015-07-10 05:00:00,30268.35270890992
2015-07-10 06:00:00,31529.851150812785
2015-07-10 07:00:00,33046.25760899383
2015-07-10 08:00:00,34404.924668226384
2015-07-10 09:00:00,35346.82970749507
2015-07-10 10:00:00,35918.97885425133
2015-07-10 11:00:00,36384.82013750994
2015-07-10 12:00:00,36976.946768513466
2015-07-10 13:00:00,37721.42719006573
2015-07-10 14:00:00,38482.80295801477
2015-07-10 15:00:00,39154.094706049036
2015-07-10 16:00:00,39773.244998431954
2015-07-10 17:00:00,40430.89281098556
2015-07-10 18:00:00,41060.791355924164
2015-07-10 19:00:00,41343.85015573692
2015-07-10 20:00:00,40863.32039709743
2015-07-10 21:00:00,39407.44647625165
2015-07-10 22:00:00,37162.31683155136
2015-07-10 23:00:00,34624.884094353074
2015-07-11 00:00:00,32313.1938602699
2015-07-11 01:00:00,30521.62990830497
2015-07-11 02:00:00,29304.017424671027
2015-07-11 03:00:00,28638.708705845725
2015-07-11 04:00:00,28565.841817515247
2015-07-11 05:00:00,29144.671122513835
2015-07-11 06:00:00,30289.81103672284
2015-07-11 07:00:00,31688.683978798832
2015-07-11 08:00:00,32929.71372890265
2015-07-11 09:00:00,33755.00295766413
2015-07-11 10:00:00,34212.725954308444
2015-07-11 11:00:00,34567.5297867795
2015-07-11 12:00:00,35053.224959104016
2015-07-11 13:00:00,35697.10234941252
2015-07-11 14:00:00,36364.91764348958
2015-07-11 15:00:00,36950.88367089148
2015-07-11 16:00:00,37494.09961016981
2015-07-11 17:00:00,38086.31196394598
2015-07-11 18:00:00,38662.31918244347
2015-07-11 19:00:00,38904.001000217555
2015-07-11 20:00:00,38395.49167259078
2015-07-11 21:00:00,36925.82017293027
2015-07-11 22:00:00,34681.75058793089
2015-07-11 23:00:00,32160.792874143084
2015-07-12 00:00:00,29881.42339823216
2015-07-12 01:00:00,28138.323196035715
2015-07-12 02:00:00,26985.47560074246
2015-07-12 03:00:00,26401.2477925576
2015-07-12 04:00:00,26425.646807840294
2015-07-12 05:00:00,27117.64896501091
2015-07-12 06:00:00,28391.444092618472
2015-07-12 07:00:00,29933.88553222023
2015-07-12 08:00:00,31332.687122433133
2015-07-12 09:00:00,32329.105894920333
2015-07-12 10:00:00,32970.3414636952
2015-07-12 11:00:00,33519.945277717685
2015-07-12 12:00:00,34210.520718141684
2015-07-12 13:00:00,35068.05072662131
2015-07-12 14:00:00,35956.89406683332
2015-07-12 15:00:00,36769.7905004588
2015-07-12 16:00:00,37544.303704049846
2015-07-12 17:00:00,38370.59668054331
2015-07-12 18:00:00,39181.851384839814
2015-07-12 19:00:00,39658.31346451715
2015-07-12 20:00:00,39382.481131391716
2015-07-12 21:00:00,38141.76105401215
2015-07-12 22:00:00,36121.32433332756
2015-07-12 23:00:00,33817.132552538016
2015-07-13 00:00:00,31746.173156629902
2015-07-13 01:00:00,30201.71192811154
2015-07-13 02:00:00,29236.404057031137
2015-07-13 03:00:00,28827.38820687647
2015-07-13 04:00:00,29013.55397776833
2015-07-13 05:00:00,29852.881599584816
2015-07-13 06:00:00,31258.695129110027
2015-07-13 07:00:00,32917.12002768016
2015-07-13 08:00:00,34415.28624622125
2015-07-13 09:00:00,35494.01548558449
